Element	Line	LinePosition	ControlId	Name	CSSClass	Value	Role	Type	TabIndex	Placeholder	Title	Href
NULL	304	56	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	/legal/user-agreement
NULL	304	159	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	/legal/privacy-policy
NULL	304	266	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	/legal/cookie-policy
NULL	345	4	sign-in-with-passkey-btn	NULL	alternate-signin__btn mt-12	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	406	21	join_now	NULL	btn__tertiary--medium	NULL	NULL	NULL	NULL	NULL	NULL	/signup/cold-join?session_redirect&#61;https%3A%2F%2Fwww.linkedin.com%2Ffeed%2F
NULL	425	60	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	/legal/user-agreement
NULL	425	163	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	/legal/privacy-policy
NULL	425	270	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	/legal/cookie-policy
NULL	517	18	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	/legal/user-agreement?trk=d_checkpoint_lg_consumerLogin_ft_user_agreement
NULL	522	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	/legal/privacy-policy?trk=d_checkpoint_lg_consumerLogin_ft_privacy_policy
NULL	527	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	/help/linkedin/answer/34593?lang=en&amp;trk=d_checkpoint_lg_consumerLogin_ft_community_guidelines
NULL	532	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	/legal/cookie-policy?trk=d_checkpoint_lg_consumerLogin_ft_cookie_policy
NULL	537	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	/legal/copyright-policy?trk=d_checkpoint_lg_consumerLogin_ft_copyright_policy
NULL	542	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	/help/linkedin?trk=d_checkpoint_lg_consumerLogin_ft_send_feedback&amp;lang=en
